Food,Calories (kcal),Protein (g),Fat (g),Carbs (g),Fiber (g)
Cows' milk,67.62295081967213,3.278688524590164,4.0983606557377055,4.918032786885246,0.0
Milk skim,36.58536585365854,3.6585365853658534,0.0,5.284552845528455,0.0
Buttermilk,51.6260162601626,3.6585365853658534,2.0325203252032518,5.284552845528455,0.0
"Evaporated, undiluted",136.9047619047619,6.349206349206349,7.936507936507936,9.523809523809524,0.0
Fortified milk,96.75828047921071,6.272022551092318,2.9598308668076108,8.386187455954898,0.09866102889358702
Powdered milk,500.0,26.21359223300971,27.184466019417478,37.86407766990291,0.0
"skim, instant",341.1764705882353,35.294117647058826,0.0,49.411764705882355,0.0
"skim, non-instant",341.1764705882353,35.294117647058826,0.0,49.411764705882355,1.1764705882352942
Goats' milk,67.62295081967213,3.278688524590164,4.0983606557377055,4.508196721311475,0.0
(1/2 cup ice cream),127.77777777777777,4.444444444444445,4.444444444444445,12.962962962962962,0.0
Cocoa,93.25396825396825,3.1746031746031744,4.365079365079365,10.317460317460316,0.0
skim. milk,51.2,7.2,1.6,5.2,0.4
(cornstarch),110.88709677419354,3.629032258064516,4.032258064516129,16.129032258064516,0.0
Custard,114.91935483870967,5.241935483870967,5.64516129032258,11.29032258064516,0.0
Ice cream,159.5744680851064,3.1914893617021276,9.574468085106382,15.425531914893616,0.0
Ice milk,144.73684210526315,4.7368421052631575,5.263157894736842,16.842105263157894,0.0
Cream or half-and-half,141.66666666666669,3.3333333333333335,12.5,4.166666666666667,0.0
or whipping,361.34453781512605,1.680672268907563,36.97478991596639,2.5210084033613445,0.8403361344537815
Cheese,106.66666666666666,13.333333333333332,4.888888888888888,2.6666666666666665,0.0
uncreamed,86.66666666666666,16.88888888888889,0.0,2.6666666666666665,0.0
Cheddar,411.764705882353,23.529411764705884,35.294117647058826,0.0,0.0
"Cheddar, grated cup",403.5714285714286,25.0,33.92857142857143,1.7857142857142858,0.0
Cream cheese,375.0,7.142857142857143,39.285714285714285,3.5714285714285716,0.0
Processed cheese,375.0,25.0,32.142857142857146,0.0,0.0
Roquefort type,375.0,21.42857142857143,32.142857142857146,0.0,0.0
Swiss,375.0,25.0,28.571428571428573,0.0,0.0
Eggs raw,150.0,12.0,12.0,0.0,0.0
Eggs Scrambled or fried,171.875,10.15625,12.5,0.78125,0.0
Yolks,352.9411764705883,17.647058823529413,29.411764705882355,0.0,0.0
Butter,714.2857142857143,0.0,78.57142857142857,0.0,0.0
Butter,100.89285714285715,101.78571428571429,102.67857142857143,105.35714285714286,104.46428571428572
Butter,100.89285714285715,101.78571428571429,102.67857142857143,105.35714285714286,104.46428571428572
Hydrogenated cooking fat,665.0,0.0,100.0,0.0,0.0
Lard,901.8181818181818,0.0,100.0,0.0,0.0
Margarine,719.6428571428572,0.0,81.25,0.0,0.0
"Margarine, 2 pat or",714.2857142857143,0.0,78.57142857142857,0.0,0.0
Mayonnaise,733.3333333333334,0.0,80.0,0.0,0.0
Corn oil,892.8571428571429,0.0,100.0,0.0,0.0
Olive oil,892.8571428571429,0.0,100.0,0.0,0.0
Safflower seed oil,892.8571428571429,0.0,100.0,0.0,0.0
French dressing,400.0,0.0,40.0,13.333333333333334,0.0
Thousand Island sauce,500.0,0.0,53.333333333333336,6.666666666666667,0.0
Salt pork,783.3333333333334,5.0,91.66666666666667,0.0,0.0
Bacon,593.75,25.0,50.0,6.25,0.0
Beef,288.2352941176471,27.058823529411764,18.823529411764707,0.0,0.0
Hamburger,288.2352941176471,24.705882352941178,20.0,0.0,0.0
Ground lean,217.64705882352942,28.235294117647058,11.764705882352942,0.0,0.0
Roast beef,458.8235294117647,18.823529411764707,42.35294117647059,0.0,0.0
Steak,388.2352941176471,23.529411764705884,31.764705882352942,0.0,0.0
"Steak, lean, as round",258.8235294117647,28.235294117647058,14.117647058823529,0.0,0.0
Corned beef,217.64705882352942,25.88235294117647,11.764705882352942,0.0,0.0
Corned beef hash canned,141.1764705882353,14.117647058823529,9.411764705882353,7.0588235294117645,0.0
Corned beef hash Dried,205.35714285714286,33.92857142857143,7.142857142857143,0.0,0.0
Pot-pie,211.45374449339207,7.929515418502202,12.334801762114537,14.09691629955947,0.0
Corned beef hash Stew,78.72340425531915,6.382978723404255,4.25531914893617,6.382978723404255,0.0
chicken,217.64705882352942,27.058823529411764,10.588235294117647,0.0,0.0
"Fried, breast or leg and thigh chicken",288.2352941176471,29.411764705882355,17.647058823529413,0.0,0.0
Roasted chicken,290.0,25.0,20.0,0.0,0.0
"Chicken livers, fried",140.0,22.0,14.0,2.3,0.0
"Duck, domestic",370.0,16.0,28.0,0.0,0.0
"Lamb, chop, broiled",417.39130434782606,20.869565217391305,30.434782608695652,0.0,0.0
Leg roasted,365.1162790697675,23.255813953488374,16.27906976744186,0.0,0.0
"Shoulder, braised",335.29411764705884,21.176470588235293,27.058823529411764,0.0,0.0
"Pork, chop, 1 thick",260.0,16.0,21.0,0.0,0.0
Ham pan-broiled,341.1764705882353,18.823529411764707,25.88235294117647,0.0,0.0
"Ham, as ",298.2456140350877,22.807017543859647,22.807017543859647,0.0,0.0
"Ham, canned, spiced",289.4736842105263,14.035087719298245,24.561403508771928,1.7543859649122806,0.0
Pork roast,364.7058823529412,24.705882352941178,28.235294117647058,0.0,0.0
Pork sausage,475.0,18.0,44.0,0.0,0.0
Turkey,265.0,27.0,15.0,0.0,0.0
Veal,217.64705882352942,27.058823529411764,10.588235294117647,0.0,0.0
Roast,358.8235294117647,15.294117647058824,16.47058823529412,0.0,0.0
